tipo_lancamento;data_referencia;id_obra;nome_obra;id_etapa;nome_etapa;pacote_servico;peso_fisico_etapa_pct;avanco_fisico_etapa_pct;id_insumo;descricao_insumo;categoria_insumo;grupo_custo;unidade_medida;nome_fornecedor;quantidade;valor_unitario;valor_total;forma_pagamento;status_pagamento;colaborador_lancamento
Realizado;2026-07-03;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Equipe Mão na Massa;159.57;223.92;35730.91;Cartão de Crédito;Pago;João Proprietário
Realizado;2026-07-06;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Elétrica Luz;159.57;201.77;32196.44;Boleto;A pagar;João Proprietário
Previsto;2026-06-21;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;0;INS-009;Porcelanato 60x60;Material;Revestimento;m2;;69.29;56.57;3919.74;;;
Realizado;2026-07-04;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Cia do Aço;31.44;60.01;1886.71;PIX;Pago;Carlos Mestre de Obras
Realizado;2026-06-17;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Elétrica Luz;31.44;56.33;1771.02;PIX;Pago;João Proprietário
Previsto;2026-07-11;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;129.07;102.5;13229.67;;;
Realizado;2026-07-19;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Elétrica Luz;62.38;99.36;6198.08;Boleto;Pago;Carlos Mestre de Obras
Realizado;2026-07-26;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Depósito Central;62.38;111.18;6935.41;PIX;Pago;João Proprietário
Previsto;2026-07-11;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;0;INS-009;Porcelanato 60x60;Material;Revestimento;m2;;402.29;35.21;14164.63;;;
Realizado;2026-07-19;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Cia do Aço;388.84;36.61;14235.43;Boleto;Pago;Carlos Mestre de Obras
Previsto;2026-07-11;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;227.13;174.35;39600.12;;;
Realizado;2026-07-23;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Depósito Central;70.73;188.37;13323.41;PIX;A pagar;Carlos Mestre de Obras
Realizado;2026-07-21;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Hidráulica Água Boa;70.73;171.43;12125.24;PIX;A pagar;Carlos Mestre de Obras
Realizado;2026-07-06;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Hidráulica Água Boa;70.73;171.37;12121.0;Boleto;A pagar;João Proprietário
Previsto;2026-07-11;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;0;INS-006;Areia Média;Material;Concreto;m3;;149.77;143.87;21547.41;;;
Realizado;2026-07-21;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-006;Areia Média;Material;Concreto;m3;Cia do Aço;62.32;152.67;9514.39;PIX;Pago;Carlos Mestre de Obras
Realizado;2026-07-23;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-006;Areia Média;Material;Concreto;m3;Depósito Central;62.32;153.34;9556.15;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-07-22;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-006;Areia Média;Material;Concreto;m3;Construmax;62.32;153.49;9565.5;PIX;Pago;Carlos Mestre de Obras
Previsto;2026-07-11;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;427.16;27.68;11823.79;;;
Realizado;2026-07-09;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-005;Servente;Mão de obra;Mão de Obra;diária;Construmax;485.39;27.6;13396.76;PIX;Pago;Carlos Mestre de Obras
Previsto;2026-07-11;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;0;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;;313.5;92.56;29017.56;;;
Realizado;2026-07-14;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;Cia do Aço;114.72;93.79;10759.59;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-07-10;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;Equipe Mão na Massa;114.72;92.85;10651.75;Cartão de Crédito;Pago;João Proprietário
Realizado;2026-07-08;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;Depósito Central;114.72;105.13;12060.51;Boleto;Pago;Carlos Mestre de Obras
Previsto;2026-07-11;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;0;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;;45.9;54.43;2498.34;;;
Realizado;2026-07-08;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Cia do Aço;21.72;55.51;1205.68;Boleto;Pago;João Proprietário
Realizado;2026-07-15;OBR-001;Casa Térrea - Lote 12;ETP-003;Estrutura;Estrutural;20;100;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Construmax;21.72;60.78;1320.14;Cartão de Crédito;Pago;João Proprietário
Previsto;2026-07-31;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;281.08;65.38;18377.01;;;
Realizado;2026-08-15;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;83;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Elétrica Luz;75.72;66.59;5042.19;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-08-08;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;83;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Elétrica Luz;75.72;63.32;4794.59;PIX;Pago;Carlos Mestre de Obras
Realizado;2026-08-03;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;83;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Cia do Aço;75.72;70.44;5333.72;Cartão de Crédito;Pago;João Proprietário
Previsto;2026-07-31;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;284.84;35.7;10168.79;;;
Realizado;2026-08-06;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;83;INS-005;Servente;Mão de obra;Mão de Obra;diária;Construmax;95.86;37.81;3624.47;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-08-06;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;83;INS-005;Servente;Mão de obra;Mão de Obra;diária;Depósito Central;95.86;34.21;3279.37;Boleto;Pago;Carlos Mestre de Obras
Realizado;2026-08-06;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;83;INS-005;Servente;Mão de obra;Mão de Obra;diária;Construmax;95.86;38.68;3707.86;Boleto;A pagar;Carlos Mestre de Obras
Previsto;2026-07-31;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;0;INS-002;Aço CA50 10mm;Material;Aço;kg;;463.62;58.8;27260.86;;;
Realizado;2026-08-08;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;83;INS-002;Aço CA50 10mm;Material;Aço;kg;Depósito Central;477.8;65.39;31243.34;PIX;Pago;João Proprietário
Previsto;2026-07-31;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;0;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;;393.37;91.17;35863.54;;;
Realizado;2026-08-03;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;83;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Cia do Aço;130.86;101.39;13267.9;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-08-02;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;83;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Cia do Aço;130.86;102.27;13383.05;Boleto;Pago;Carlos Mestre de Obras
Realizado;2026-08-01;OBR-001;Casa Térrea - Lote 12;ETP-004;Alvenaria;Estrutural;15;83;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Hidráulica Água Boa;130.86;90.68;11866.38;Boleto;Pago;Carlos Mestre de Obras
Previsto;2026-08-20;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;0;INS-006;Areia Média;Material;Concreto;m3;;23.52;177.25;4168.92;;;
Realizado;2026-08-23;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-006;Areia Média;Material;Concreto;m3;Depósito Central;4.53;202.51;917.37;PIX;Pago;João Proprietário
Realizado;2026-08-25;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-006;Areia Média;Material;Concreto;m3;Hidráulica Água Boa;4.53;194.21;879.77;Cartão de Crédito;A pagar;Carlos Mestre de Obras
Previsto;2026-08-20;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;0;INS-009;Porcelanato 60x60;Material;Revestimento;m2;;198.75;121.67;24181.91;;;
Realizado;2026-08-31;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Construmax;36.39;126.2;4592.42;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-08-17;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Equipe Mão na Massa;36.39;124.45;4528.74;Boleto;Pago;Carlos Mestre de Obras
Previsto;2026-08-20;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;0;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;;362.68;70.56;25590.7;;;
Realizado;2026-08-24;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;Construmax;82.21;71.64;5889.52;PIX;Pago;João Proprietário
Realizado;2026-08-20;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;Construmax;82.21;76.59;6296.46;Cartão de Crédito;Pago;Carlos Mestre de Obras
Previsto;2026-08-20;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;0;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;;158.9;53.88;8561.53;;;
Realizado;2026-08-29;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Hidráulica Água Boa;23.57;54.66;1288.34;Cartão de Crédito;Pago;João Proprietário
Realizado;2026-08-20;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Equipe Mão na Massa;23.57;59.74;1408.07;PIX;Pago;João Proprietário
Realizado;2026-08-22;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Equipe Mão na Massa;23.57;52.19;1230.12;Boleto;Pago;Carlos Mestre de Obras
Previsto;2026-08-20;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;82.2;23.55;1935.81;;;
Realizado;2026-08-29;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-005;Servente;Mão de obra;Mão de Obra;diária;Hidráulica Água Boa;18.31;25.99;475.88;Cartão de Crédito;Pago;João Proprietário
Realizado;2026-08-22;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-005;Servente;Mão de obra;Mão de Obra;diária;Cia do Aço;18.31;24.7;452.26;Cartão de Crédito;Pago;Carlos Mestre de Obras
Previsto;2026-08-20;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;391.43;55.49;21720.45;;;
Realizado;2026-08-22;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Depósito Central;56.43;53.27;3006.03;Boleto;Pago;João Proprietário
Realizado;2026-09-01;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Construmax;56.43;60.12;3392.57;Boleto;A pagar;João Proprietário
Realizado;2026-08-31;OBR-001;Casa Térrea - Lote 12;ETP-005;Cobertura;Cobertura;10;40;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Hidráulica Água Boa;56.43;59.51;3358.15;Cartão de Crédito;Pago;Carlos Mestre de Obras
Previsto;2026-09-09;OBR-001;Casa Térrea - Lote 12;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;;317.11;65.8;20865.84;;;
Previsto;2026-09-09;OBR-001;Casa Térrea - Lote 12;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;47.97;67.86;3255.24;;;
Previsto;2026-09-09;OBR-001;Casa Térrea - Lote 12;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;143.14;74.15;10613.83;;;
Previsto;2026-09-09;OBR-001;Casa Térrea - Lote 12;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;;274.67;40.6;11151.6;;;
Previsto;2026-09-09;OBR-001;Casa Térrea - Lote 12;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-006;Areia Média;Material;Concreto;m3;;123.32;143.38;17681.62;;;
Previsto;2026-09-09;OBR-001;Casa Térrea - Lote 12;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;356.15;26.88;9573.31;;;
Previsto;2026-09-09;OBR-001;Casa Térrea - Lote 12;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;;209.72;115.38;24197.49;;;
Previsto;2026-09-29;OBR-001;Casa Térrea - Lote 12;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;;243.72;189.41;46163.01;;;
Previsto;2026-09-29;OBR-001;Casa Térrea - Lote 12;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;156.32;87.15;13623.29;;;
Previsto;2026-09-29;OBR-001;Casa Térrea - Lote 12;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;;446.9;169.61;75798.71;;;
Previsto;2026-09-29;OBR-001;Casa Térrea - Lote 12;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-009;Porcelanato 60x60;Material;Revestimento;m2;;273.73;150.91;41308.59;;;
Previsto;2026-09-29;OBR-001;Casa Térrea - Lote 12;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;401.94;181.1;72791.33;;;
Previsto;2026-09-29;OBR-001;Casa Térrea - Lote 12;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;;249.23;65.49;16322.07;;;
Previsto;2026-09-29;OBR-001;Casa Térrea - Lote 12;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;;247.96;86.94;21557.64;;;
Previsto;2026-10-19;OBR-001;Casa Térrea - Lote 12;ETP-008;Acabamento;Acabamento;15;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;300.03;137.65;41299.13;;;
Previsto;2026-10-19;OBR-001;Casa Térrea - Lote 12;ETP-008;Acabamento;Acabamento;15;0;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;;51.13;94.29;4821.05;;;
Previsto;2026-10-19;OBR-001;Casa Térrea - Lote 12;ETP-008;Acabamento;Acabamento;15;0;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;;434.76;48.62;21138.03;;;
Previsto;2026-10-19;OBR-001;Casa Térrea - Lote 12;ETP-008;Acabamento;Acabamento;15;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;137.48;75.56;10387.99;;;
Previsto;2026-10-19;OBR-001;Casa Térrea - Lote 12;ETP-008;Acabamento;Acabamento;15;0;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;;232.8;77.44;18028.03;;;
Previsto;2026-10-19;OBR-001;Casa Térrea - Lote 12;ETP-008;Acabamento;Acabamento;15;0;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;;441.02;66.48;29319.01;;;
Previsto;2026-10-19;OBR-001;Casa Térrea - Lote 12;ETP-008;Acabamento;Acabamento;15;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;476.09;92.99;44271.61;;;
Previsto;2026-07-15;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;0;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;;119.87;27.69;3319.2;;;
Realizado;2026-07-17;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Cia do Aço;36.52;26.48;967.05;PIX;Pago;Carlos Mestre de Obras
Realizado;2026-07-13;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Construmax;36.52;27.0;986.04;PIX;Pago;João Proprietário
Realizado;2026-07-15;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Construmax;36.52;30.55;1115.69;Cartão de Crédito;A pagar;Carlos Mestre de Obras
Previsto;2026-07-15;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;0;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;;391.12;45.3;17717.74;;;
Realizado;2026-07-19;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Construmax;183.4;43.27;7935.72;Cartão de Crédito;A pagar;João Proprietário
Realizado;2026-07-16;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Depósito Central;183.4;46.63;8551.94;Cartão de Crédito;Pago;Carlos Mestre de Obras
